Métriques,Naive Bayes,Random Forest
Accuracy,0.9865065243179122,0.9995551601423488
Precision,0.974431019949424,0.9991356957649092
Recall,1.0,1.0
F1-Score,0.9870499501921162,0.9995676610462603
