Métriques,Naive Bayes Optimisé,Random Forest Optimisé
Accuracy,0.9903618030842231,0.9995551601423488
Precision,0.9816020379281064,0.9991356957649092
Recall,1.0,1.0
F1-Score,0.9907156120554207,0.9995676610462603
